Location,Year,Week,Date,SnowDepth(cm)
Falls Creek,2020,1,9-Jun,27
Falls Creek,2020,2,16-Jun,22
Falls Creek,2020,3,23-Jun,58
Falls Creek,2020,4,30-Jun,54
Falls Creek,2020,5,7-Jul,74
Falls Creek,2020,6,14-Jul,66
Falls Creek,2020,7,21-Jul,79
Falls Creek,2020,8,28-Jul,80
Falls Creek,2020,9,4-Aug,83
Falls Creek,2020,10,11-Aug,115
Falls Creek,2020,11,18-Aug,172
Falls Creek,2020,12,25-Aug,156
Falls Creek,2020,13,1-Sep,183
Falls Creek,2020,14,8-Sep,180
Falls Creek,2020,15,15-Sep,155
Falls Creek,2021,1,9-Jun,0
Falls Creek,2021,2,16-Jun,0
Falls Creek,2021,3,23-Jun,0
Falls Creek,2021,4,30-Jun,0
Falls Creek,2021,5,7-Jul,25
Falls Creek,2021,6,14-Jul,54
Falls Creek,2021,7,21-Jul,70
Falls Creek,2021,8,28-Jul,66
Falls Creek,2021,9,4-Aug,75
Falls Creek,2021,10,11-Aug,90
Falls Creek,2021,11,18-Aug,123
Falls Creek,2021,12,25-Aug,146
Falls Creek,2021,13,1-Sep,118
Falls Creek,2021,14,8-Sep,86
Falls Creek,2021,15,15-Sep,70
Falls Creek,2022,1,9-Jun,0
Falls Creek,2022,2,16-Jun,0
Falls Creek,2022,3,23-Jun,0
Falls Creek,2022,4,30-Jun,104
Falls Creek,2022,5,7-Jul,102
Falls Creek,2022,6,14-Jul,136
Falls Creek,2022,7,21-Jul,156
Falls Creek,2022,8,28-Jul,138
Falls Creek,2022,9,4-Aug,131
Falls Creek,2022,10,11-Aug,127
Falls Creek,2022,11,18-Aug,123
Falls Creek,2022,12,25-Aug,109
Falls Creek,2022,13,1-Sep,95
Falls Creek,2022,14,8-Sep,87
Falls Creek,2022,15,15-Sep,65
Falls Creek,2023,1,9-Jun,0
Falls Creek,2023,2,16-Jun,2
Falls Creek,2023,3,23-Jun,1
Falls Creek,2023,4,30-Jun,0
Falls Creek,2023,5,7-Jul,5
Falls Creek,2023,6,14-Jul,41
Falls Creek,2023,7,21-Jul,47
Falls Creek,2023,8,28-Jul,87
Falls Creek,2023,9,4-Aug,99
Falls Creek,2023,10,11-Aug,111
Falls Creek,2023,11,18-Aug,109
Falls Creek,2023,12,25-Aug,98
Falls Creek,2023,13,1-Sep,93
Falls Creek,2023,14,8-Sep,103
Falls Creek,2023,15,15-Sep,77
Falls Creek,2024,1,9-Jun,0
Falls Creek,2024,2,16-Jun,0
Falls Creek,2024,3,23-Jun,46
Falls Creek,2024,4,30-Jun,69
Falls Creek,2024,5,7-Jul,57
Falls Creek,2024,6,14-Jul,90
Falls Creek,2024,7,21-Jul,66
Falls Creek,2024,8,28-Jul,114
Falls Creek,2024,9,4-Aug,102
Falls Creek,2024,10,11-Aug,101
Falls Creek,2024,11,18-Aug,94
Falls Creek,2024,12,25-Aug,125
Falls Creek,2024,13,1-Sep,104
Falls Creek,2024,14,8-Sep,97
Falls Creek,2024,15,15-Sep,93
Falls Creek,2025,1,9-Jun,17
Falls Creek,2025,2,16-Jun,9
Falls Creek,2025,3,23-Jun,4
Falls Creek,2025,4,30-Jun,9
Falls Creek,2025,5,7-Jul,23
Falls Creek,2025,6,14-Jul,36
Falls Creek,2025,7,21-Jul,68
Falls Creek,2025,8,28-Jul,80
Falls Creek,2025,9,4-Aug,73
Falls Creek,2025,10,11-Aug,145
Falls Creek,2025,11,18-Aug,147
Falls Creek,2025,12,25-Aug,152
Falls Creek,2025,13,1-Sep,150
Falls Creek,2025,14,8-Sep,216
Falls Creek,2025,15,15-Sep,192
Mt Baw Baw,2020,2,16-Jun,12
Mt Baw Baw,2020,3,23-Jun,23
Mt Baw Baw,2020,4,30-Jun,13
Mt Baw Baw,2020,5,7-Jul,17
Mt Baw Baw,2020,6,14-Jul,6
Mt Baw Baw,2020,7,21-Jul,7
Mt Baw Baw,2020,8,28-Jul,5
Mt Baw Baw,2020,9,4-Aug,12
Mt Baw Baw,2020,10,11-Aug,38
Mt Baw Baw,2020,11,18-Aug,42
Mt Baw Baw,2020,12,25-Aug,35
Mt Baw Baw,2020,13,1-Sep,58
Mt Baw Baw,2020,14,8-Sep,50
Mt Baw Baw,2020,15,15-Sep,27
Mt Baw Baw,2021,1,9-Jun,0
Mt Baw Baw,2021,2,16-Jun,0
Mt Baw Baw,2021,3,23-Jun,0
Mt Baw Baw,2021,4,30-Jun,1
Mt Baw Baw,2021,5,7-Jul,2
Mt Baw Baw,2021,6,14-Jul,4
Mt Baw Baw,2021,7,21-Jul,9
Mt Baw Baw,2021,8,28-Jul,4
Mt Baw Baw,2021,9,4-Aug,13
Mt Baw Baw,2021,10,11-Aug,5
Mt Baw Baw,2021,11,18-Aug,10
Mt Baw Baw,2021,12,25-Aug,11
Mt Baw Baw,2021,13,1-Sep,0
Mt Baw Baw,2021,14,8-Sep,0
Mt Baw Baw,2021,15,15-Sep,0
Mt Baw Baw,2022,1,9-Jun,0
Mt Baw Baw,2022,2,16-Jun,0
Mt Baw Baw,2022,3,23-Jun,0
Mt Baw Baw,2022,4,30-Jun,42
Mt Baw Baw,2022,5,7-Jul,22
Mt Baw Baw,2022,6,14-Jul,37
Mt Baw Baw,2022,7,21-Jul,58
Mt Baw Baw,2022,8,28-Jul,34
Mt Baw Baw,2022,9,4-Aug,50
Mt Baw Baw,2022,10,11-Aug,27
Mt Baw Baw,2022,11,18-Aug,15
Mt Baw Baw,2022,12,25-Aug,7
Mt Baw Baw,2022,13,1-Sep,2
Mt Baw Baw,2022,14,8-Sep,3
Mt Baw Baw,2022,15,15-Sep,0
Mt Baw Baw,2023,1,9-Jun,5
Mt Baw Baw,2023,2,16-Jun,1
Mt Baw Baw,2023,3,23-Jun,2
Mt Baw Baw,2023,4,30-Jun,0
Mt Baw Baw,2023,5,7-Jul,7
Mt Baw Baw,2023,6,14-Jul,14
Mt Baw Baw,2023,7,21-Jul,33
Mt Baw Baw,2023,8,28-Jul,41
Mt Baw Baw,2023,9,4-Aug,65
Mt Baw Baw,2023,10,11-Aug,85
Mt Baw Baw,2023,11,18-Aug,73
Mt Baw Baw,2023,12,25-Aug,40
Mt Baw Baw,2023,13,1-Sep,43
Mt Baw Baw,2023,14,8-Sep,47
Mt Baw Baw,2023,15,15-Sep,39
Mt Baw Baw,2024,1,9-Jun,0
Mt Baw Baw,2024,2,16-Jun,4
Mt Baw Baw,2024,3,23-Jun,0
Mt Baw Baw,2024,4,30-Jun,32
Mt Baw Baw,2024,5,7-Jul,15
Mt Baw Baw,2024,6,14-Jul,13
Mt Baw Baw,2024,7,21-Jul,1
Mt Baw Baw,2024,8,28-Jul,12
Mt Baw Baw,2024,9,4-Aug,3
Mt Baw Baw,2024,10,11-Aug,8
Mt Baw Baw,2024,11,18-Aug,1
Mt Baw Baw,2024,12,25-Aug,3
Mt Baw Baw,2024,13,1-Sep,1
Mt Baw Baw,2024,14,8-Sep,0
Mt Baw Baw,2024,15,15-Sep,0
Mt Baw Baw,2025,1,9-Jun,0
Mt Baw Baw,2025,2,16-Jun,1
Mt Baw Baw,2025,3,23-Jun,0
Mt Baw Baw,2025,4,30-Jun,5
Mt Baw Baw,2025,5,7-Jul,6
Mt Baw Baw,2025,6,14-Jul,4
Mt Baw Baw,2025,7,21-Jul,8
Mt Baw Baw,2025,8,28-Jul,11
Mt Baw Baw,2025,9,4-Aug,5
Mt Baw Baw,2025,10,11-Aug,35
Mt Baw Baw,2025,11,18-Aug,8
Mt Baw Baw,2025,12,25-Aug,30
Mt Baw Baw,2025,13,1-Sep,41
Mt Baw Baw,2025,14,8-Sep,66
Mt Baw Baw,2025,15,15-Sep,63
Mt Buller,2020,1,9-Jun,0
Mt Buller,2020,2,16-Jun,0
Mt Buller,2020,3,23-Jun,28
Mt Buller,2020,4,30-Jun,28
Mt Buller,2020,5,7-Jul,39
Mt Buller,2020,6,14-Jul,26
Mt Buller,2020,7,21-Jul,27
Mt Buller,2020,8,28-Jul,33
Mt Buller,2020,9,4-Aug,35
Mt Buller,2020,10,11-Aug,59
Mt Buller,2020,11,18-Aug,92
Mt Buller,2020,12,25-Aug,74
Mt Buller,2020,13,1-Sep,102
Mt Buller,2020,14,8-Sep,94
Mt Buller,2020,15,15-Sep,83
Mt Buller,2021,1,9-Jun,0
Mt Buller,2021,2,16-Jun,0
Mt Buller,2021,3,23-Jun,0
Mt Buller,2021,4,30-Jun,8
Mt Buller,2021,5,7-Jul,12
Mt Buller,2021,6,14-Jul,29
Mt Buller,2021,7,21-Jul,6
Mt Buller,2021,8,28-Jul,29
Mt Buller,2021,9,4-Aug,27
Mt Buller,2021,10,11-Aug,46
Mt Buller,2021,11,18-Aug,61
Mt Buller,2021,12,25-Aug,83
Mt Buller,2021,13,1-Sep,44
Mt Buller,2021,14,8-Sep,7
Mt Buller,2021,15,15-Sep,0
Mt Buller,2022,1,9-Jun,0
Mt Buller,2022,2,16-Jun,0
Mt Buller,2022,3,23-Jun,0
Mt Buller,2022,4,30-Jun,59
Mt Buller,2022,5,7-Jul,71
Mt Buller,2022,6,14-Jul,97
Mt Buller,2022,7,21-Jul,108
Mt Buller,2022,8,28-Jul,101
Mt Buller,2022,9,4-Aug,96
Mt Buller,2022,10,11-Aug,93
Mt Buller,2022,11,18-Aug,87
Mt Buller,2022,12,25-Aug,79
Mt Buller,2022,13,1-Sep,65
Mt Buller,2022,14,8-Sep,66
Mt Buller,2022,15,15-Sep,26
Mt Buller,2023,1,9-Jun,4
Mt Buller,2023,2,16-Jun,0
Mt Buller,2023,3,23-Jun,0
Mt Buller,2023,4,30-Jun,0
Mt Buller,2023,5,7-Jul,0
Mt Buller,2023,6,14-Jul,34
Mt Buller,2023,7,21-Jul,35
Mt Buller,2023,8,28-Jul,52
Mt Buller,2023,9,4-Aug,53
Mt Buller,2023,10,11-Aug,67
Mt Buller,2023,11,18-Aug,74
Mt Buller,2023,12,25-Aug,55
Mt Buller,2023,13,1-Sep,55
Mt Buller,2023,14,8-Sep,56
Mt Buller,2023,15,15-Sep,32
Mt Buller,2024,1,9-Jun,0
Mt Buller,2024,2,16-Jun,3
Mt Buller,2024,3,23-Jun,12
Mt Buller,2024,4,30-Jun,42
Mt Buller,2024,5,7-Jul,42
Mt Buller,2024,6,14-Jul,53
Mt Buller,2024,7,21-Jul,31
Mt Buller,2024,8,28-Jul,53
Mt Buller,2024,9,4-Aug,60
Mt Buller,2024,10,11-Aug,57
Mt Buller,2024,11,18-Aug,48
Mt Buller,2024,12,25-Aug,76
Mt Buller,2024,13,1-Sep,65
Mt Buller,2024,14,8-Sep,40
Mt Buller,2024,15,15-Sep,23
Mt Buller,2025,1,9-Jun,12
Mt Buller,2025,2,16-Jun,10
Mt Buller,2025,3,23-Jun,3
Mt Buller,2025,4,30-Jun,11
Mt Buller,2025,5,7-Jul,23
Mt Buller,2025,6,14-Jul,39
Mt Buller,2025,7,21-Jul,57
Mt Buller,2025,8,28-Jul,65
Mt Buller,2025,9,4-Aug,64
Mt Buller,2025,10,11-Aug,102
Mt Buller,2025,11,18-Aug,95
Mt Buller,2025,12,25-Aug,120
Mt Buller,2025,13,1-Sep,118
Mt Buller,2025,14,8-Sep,147
Mt Buller,2025,15,15-Sep,135
Mt Hotham,2020,1,9-Jun,35
Mt Hotham,2020,2,16-Jun,27
Mt Hotham,2020,3,23-Jun,78
Mt Hotham,2020,4,30-Jun,70
Mt Hotham,2020,5,7-Jul,88
Mt Hotham,2020,6,14-Jul,83
Mt Hotham,2020,7,21-Jul,89
Mt Hotham,2020,8,28-Jul,91
Mt Hotham,2020,9,4-Aug,99
Mt Hotham,2020,10,11-Aug,136
Mt Hotham,2020,11,18-Aug,166
Mt Hotham,2020,12,25-Aug,167
Mt Hotham,2020,13,1-Sep,203
Mt Hotham,2020,14,8-Sep,186
Mt Hotham,2020,15,15-Sep,177
Mt Hotham,2021,1,9-Jun,0
Mt Hotham,2021,2,16-Jun,0
Mt Hotham,2021,3,23-Jun,0
Mt Hotham,2021,4,30-Jun,10
Mt Hotham,2021,5,7-Jul,31
Mt Hotham,2021,6,14-Jul,44
Mt Hotham,2021,7,21-Jul,15
Mt Hotham,2021,8,28-Jul,46
Mt Hotham,2021,9,4-Aug,55
Mt Hotham,2021,10,11-Aug,77
Mt Hotham,2021,11,18-Aug,100
Mt Hotham,2021,12,25-Aug,135
Mt Hotham,2021,13,1-Sep,95
Mt Hotham,2021,14,8-Sep,52
Mt Hotham,2021,15,15-Sep,39
Mt Hotham,2022,1,9-Jun,0
Mt Hotham,2022,2,16-Jun,0
Mt Hotham,2022,3,23-Jun,0
Mt Hotham,2022,4,30-Jun,87
Mt Hotham,2022,5,7-Jul,85
Mt Hotham,2022,6,14-Jul,116
Mt Hotham,2022,7,21-Jul,147
Mt Hotham,2022,8,28-Jul,133
Mt Hotham,2022,9,4-Aug,124
Mt Hotham,2022,10,11-Aug,120
Mt Hotham,2022,11,18-Aug,116
Mt Hotham,2022,12,25-Aug,107
Mt Hotham,2022,13,1-Sep,95
Mt Hotham,2022,14,8-Sep,88
Mt Hotham,2022,15,15-Sep,0
Mt Hotham,2023,1,9-Jun,0
Mt Hotham,2023,2,16-Jun,0
Mt Hotham,2023,3,23-Jun,2
Mt Hotham,2023,4,30-Jun,0
Mt Hotham,2023,5,7-Jul,7
Mt Hotham,2023,6,14-Jul,46
Mt Hotham,2023,7,21-Jul,54
Mt Hotham,2023,8,28-Jul,85
Mt Hotham,2023,9,4-Aug,100
Mt Hotham,2023,10,11-Aug,108
Mt Hotham,2023,11,18-Aug,108
Mt Hotham,2023,12,25-Aug,91
Mt Hotham,2023,13,1-Sep,89
Mt Hotham,2023,14,8-Sep,100
Mt Hotham,2023,15,15-Sep,69
Mt Hotham,2024,1,9-Jun,0
Mt Hotham,2024,2,16-Jun,0
Mt Hotham,2024,3,23-Jun,24
Mt Hotham,2024,4,30-Jun,40
Mt Hotham,2024,5,7-Jul,48
Mt Hotham,2024,6,14-Jul,94
Mt Hotham,2024,7,21-Jul,64
Mt Hotham,2024,8,28-Jul,104
Mt Hotham,2024,9,4-Aug,98
Mt Hotham,2024,10,11-Aug,95
Mt Hotham,2024,11,18-Aug,90
Mt Hotham,2024,12,25-Aug,119
Mt Hotham,2024,13,1-Sep,97
Mt Hotham,2024,14,8-Sep,88
Mt Hotham,2024,15,15-Sep,83
Mt Hotham,2025,1,9-Jun,26
Mt Hotham,2025,2,16-Jun,20
Mt Hotham,2025,3,23-Jun,18
Mt Hotham,2025,4,30-Jun,25
Mt Hotham,2025,5,7-Jul,34
Mt Hotham,2025,6,14-Jul,46
Mt Hotham,2025,7,21-Jul,73
Mt Hotham,2025,8,28-Jul,82
Mt Hotham,2025,9,4-Aug,85
Mt Hotham,2025,10,11-Aug,148
Mt Hotham,2025,11,18-Aug,146
Mt Hotham,2025,12,25-Aug,153
Mt Hotham,2025,13,1-Sep,153
Mt Hotham,2025,14,8-Sep,197
Mt Hotham,2025,15,15-Sep,178
Mt Stirling,2020,1,9-Jun,0
Mt Stirling,2020,2,16-Jun,0
Mt Stirling,2020,3,23-Jun,15
Mt Stirling,2020,4,30-Jun,14
Mt Stirling,2020,5,7-Jul,20
Mt Stirling,2020,6,14-Jul,20
Mt Stirling,2020,7,21-Jul,20
Mt Stirling,2020,8,28-Jul,23
Mt Stirling,2020,9,4-Aug,22
Mt Stirling,2020,10,11-Aug,20
Mt Stirling,2020,11,18-Aug,30
Mt Stirling,2020,12,25-Aug,35
Mt Stirling,2020,13,1-Sep,45
Mt Stirling,2020,14,8-Sep,35
Mt Stirling,2020,15,15-Sep,35
Mt Stirling,2021,1,9-Jun,0
Mt Stirling,2021,2,16-Jun,0
Mt Stirling,2021,3,23-Jun,0
Mt Stirling,2021,4,30-Jun,3
Mt Stirling,2021,5,7-Jul,10
Mt Stirling,2021,6,14-Jul,20
Mt Stirling,2021,7,21-Jul,0
Mt Stirling,2021,8,28-Jul,25
Mt Stirling,2021,9,4-Aug,25
Mt Stirling,2021,10,11-Aug,41
Mt Stirling,2021,11,18-Aug,47
Mt Stirling,2021,12,25-Aug,85
Mt Stirling,2021,13,1-Sep,55
Mt Stirling,2021,14,8-Sep,10
Mt Stirling,2021,15,15-Sep,0
Mt Stirling,2022,1,9-Jun,0
Mt Stirling,2022,2,16-Jun,0
Mt Stirling,2022,3,23-Jun,0
Mt Stirling,2022,4,30-Jun,58
Mt Stirling,2022,5,7-Jul,58
Mt Stirling,2022,6,14-Jul,97
Mt Stirling,2022,7,21-Jul,109
Mt Stirling,2022,8,28-Jul,100
Mt Stirling,2022,9,4-Aug,100
Mt Stirling,2022,10,11-Aug,87
Mt Stirling,2022,11,18-Aug,79
Mt Stirling,2022,12,25-Aug,62
Mt Stirling,2022,13,1-Sep,40
Mt Stirling,2022,14,8-Sep,30
Mt Stirling,2022,15,15-Sep,25
Mt Stirling,2023,1,9-Jun,0
Mt Stirling,2023,2,16-Jun,0
Mt Stirling,2023,3,23-Jun,0
Mt Stirling,2023,4,30-Jun,0
Mt Stirling,2023,5,7-Jul,5
Mt Stirling,2023,6,14-Jul,25
Mt Stirling,2023,7,21-Jul,36
Mt Stirling,2023,8,28-Jul,50
Mt Stirling,2023,9,4-Aug,53
Mt Stirling,2023,10,11-Aug,62
Mt Stirling,2023,11,18-Aug,56
Mt Stirling,2023,12,25-Aug,46
Mt Stirling,2023,13,1-Sep,46
Mt Stirling,2023,14,8-Sep,35
Mt Stirling,2023,15,15-Sep,20
Mt Stirling,2024,1,9-Jun,0
Mt Stirling,2024,2,16-Jun,5
Mt Stirling,2024,3,23-Jun,0
Mt Stirling,2024,4,30-Jun,0
Mt Stirling,2024,5,7-Jul,34
Mt Stirling,2024,6,14-Jul,50
Mt Stirling,2024,7,21-Jul,28
Mt Stirling,2024,8,28-Jul,55
Mt Stirling,2024,9,4-Aug,50
Mt Stirling,2024,10,11-Aug,46
Mt Stirling,2024,11,18-Aug,47
Mt Stirling,2024,12,25-Aug,56
Mt Stirling,2024,13,1-Sep,40
Mt Stirling,2024,14,8-Sep,21
Mt Stirling,2024,15,15-Sep,12
Mt Stirling,2025,1,9-Jun,0
Mt Stirling,2025,2,16-Jun,0
Mt Stirling,2025,3,23-Jun,0
Mt Stirling,2025,4,30-Jun,2
Mt Stirling,2025,5,7-Jul,3
Mt Stirling,2025,6,14-Jul,11
Mt Stirling,2025,7,21-Jul,19
Mt Stirling,2025,8,28-Jul,17
Mt Stirling,2025,9,4-Aug,13
Mt Stirling,2025,10,11-Aug,61
Mt Stirling,2025,11,18-Aug,27
Mt Stirling,2025,12,25-Aug,35
Mt Stirling,2025,13,1-Sep,36
Mt Stirling,2025,14,8-Sep,61
Mt Stirling,2025,15,15-Sep,45
Spencers Creek,2020,1,9-Jun,0
Spencers Creek,2020,2,16-Jun,10
Spencers Creek,2020,3,23-Jun,20
Spencers Creek,2020,4,30-Jun,40
Spencers Creek,2020,5,7-Jul,80
Spencers Creek,2020,6,14-Jul,90
Spencers Creek,2020,7,21-Jul,120
Spencers Creek,2020,8,28-Jul,150
Spencers Creek,2020,9,4-Aug,170
Spencers Creek,2020,10,11-Aug,180
Spencers Creek,2020,11,18-Aug,160
Spencers Creek,2020,12,25-Aug,100
Spencers Creek,2020,13,1-Sep,60
Spencers Creek,2020,14,8-Sep,30
Spencers Creek,2020,15,15-Sep,0
Spencers Creek,2021,1,9-Jun,0
Spencers Creek,2021,2,16-Jun,20
Spencers Creek,2021,3,23-Jun,40
Spencers Creek,2021,4,30-Jun,60
Spencers Creek,2021,5,7-Jul,120
Spencers Creek,2021,6,14-Jul,160
Spencers Creek,2021,7,21-Jul,180
Spencers Creek,2021,8,28-Jul,170
Spencers Creek,2021,9,4-Aug,150
Spencers Creek,2021,10,11-Aug,130
Spencers Creek,2021,11,18-Aug,100
Spencers Creek,2021,12,25-Aug,60
Spencers Creek,2021,13,1-Sep,40
Spencers Creek,2021,14,8-Sep,20
Spencers Creek,2021,15,15-Sep,0
Spencers Creek,2022,1,9-Jun,0
Spencers Creek,2022,2,16-Jun,50
Spencers Creek,2022,3,23-Jun,80
Spencers Creek,2022,4,30-Jun,100
Spencers Creek,2022,5,7-Jul,150
Spencers Creek,2022,6,14-Jul,170
Spencers Creek,2022,7,21-Jul,200
Spencers Creek,2022,8,28-Jul,190
Spencers Creek,2022,9,4-Aug,210
Spencers Creek,2022,10,11-Aug,200
Spencers Creek,2022,11,18-Aug,160
Spencers Creek,2022,12,25-Aug,120
Spencers Creek,2022,13,1-Sep,80
Spencers Creek,2022,14,8-Sep,40
Spencers Creek,2022,15,15-Sep,0
Spencers Creek,2023,1,9-Jun,0
Spencers Creek,2023,2,16-Jun,40
Spencers Creek,2023,3,23-Jun,70
Spencers Creek,2023,4,30-Jun,90
Spencers Creek,2023,5,7-Jul,120
Spencers Creek,2023,6,14-Jul,130
Spencers Creek,2023,7,21-Jul,140
Spencers Creek,2023,8,28-Jul,130
Spencers Creek,2023,9,4-Aug,120
Spencers Creek,2023,10,11-Aug,100
Spencers Creek,2023,11,18-Aug,80
Spencers Creek,2023,12,25-Aug,60
Spencers Creek,2023,13,1-Sep,40
Spencers Creek,2023,14,8-Sep,20
Spencers Creek,2023,15,15-Sep,0
Spencers Creek,2024,1,9-Jun,0
Spencers Creek,2024,2,16-Jun,20
Spencers Creek,2024,3,23-Jun,40
Spencers Creek,2024,4,30-Jun,60
Spencers Creek,2024,5,7-Jul,80
Spencers Creek,2024,6,14-Jul,100
Spencers Creek,2024,7,21-Jul,120
Spencers Creek,2024,8,28-Jul,140
Spencers Creek,2024,9,4-Aug,130
Spencers Creek,2024,10,11-Aug,100
Spencers Creek,2024,11,18-Aug,70
Spencers Creek,2024,12,25-Aug,50
Spencers Creek,2024,13,1-Sep,30
Spencers Creek,2024,14,8-Sep,10
Spencers Creek,2024,15,15-Sep,0
Spencers Creek,2025,1,9-Jun,0
Spencers Creek,2025,2,16-Jun,30
Spencers Creek,2025,3,23-Jun,50
Spencers Creek,2025,4,30-Jun,70
Spencers Creek,2025,5,7-Jul,100
Spencers Creek,2025,6,14-Jul,120
Spencers Creek,2025,7,21-Jul,140
Spencers Creek,2025,8,28-Jul,150
Spencers Creek,2025,9,4-Aug,160
Spencers Creek,2025,10,11-Aug,140
Spencers Creek,2025,11,18-Aug,120
Spencers Creek,2025,12,25-Aug,100
Spencers Creek,2025,13,1-Sep,80
Spencers Creek,2025,14,8-Sep,60
Spencers Creek,2025,15,15-Sep,40
Three Mile Dam,2020,1,9-Jun,0
Three Mile Dam,2020,2,16-Jun,0
Three Mile Dam,2020,3,23-Jun,0
Three Mile Dam,2020,4,30-Jun,0
Three Mile Dam,2020,5,7-Jul,5
Three Mile Dam,2020,6,14-Jul,10
Three Mile Dam,2020,7,21-Jul,15
Three Mile Dam,2020,8,28-Jul,20
Three Mile Dam,2020,9,4-Aug,70
Three Mile Dam,2020,10,11-Aug,40
Three Mile Dam,2020,11,18-Aug,10
Three Mile Dam,2020,12,25-Aug,0
Three Mile Dam,2020,13,1-Sep,0
Three Mile Dam,2020,14,8-Sep,0
Three Mile Dam,2020,15,15-Sep,0
Three Mile Dam,2021,1,9-Jun,0
Three Mile Dam,2021,2,16-Jun,0
Three Mile Dam,2021,3,23-Jun,5
Three Mile Dam,2021,4,30-Jun,10
Three Mile Dam,2021,5,7-Jul,20
Three Mile Dam,2021,6,14-Jul,25
Three Mile Dam,2021,7,21-Jul,30
Three Mile Dam,2021,8,28-Jul,35
Three Mile Dam,2021,9,4-Aug,20
Three Mile Dam,2021,10,11-Aug,10
Three Mile Dam,2021,11,18-Aug,5
Three Mile Dam,2021,12,25-Aug,0
Three Mile Dam,2021,13,1-Sep,0
Three Mile Dam,2021,14,8-Sep,0
Three Mile Dam,2021,15,15-Sep,0
Three Mile Dam,2022,1,9-Jun,0
Three Mile Dam,2022,2,16-Jun,20
Three Mile Dam,2022,3,23-Jun,40
Three Mile Dam,2022,4,30-Jun,60
Three Mile Dam,2022,5,7-Jul,80
Three Mile Dam,2022,6,14-Jul,100
Three Mile Dam,2022,7,21-Jul,120
Three Mile Dam,2022,8,28-Jul,100
Three Mile Dam,2022,9,4-Aug,80
Three Mile Dam,2022,10,11-Aug,50
Three Mile Dam,2022,11,18-Aug,20
Three Mile Dam,2022,12,25-Aug,0
Three Mile Dam,2022,13,1-Sep,0
Three Mile Dam,2022,14,8-Sep,0
Three Mile Dam,2022,15,15-Sep,0
Three Mile Dam,2023,1,9-Jun,0
Three Mile Dam,2023,2,16-Jun,10
Three Mile Dam,2023,3,23-Jun,20
Three Mile Dam,2023,4,30-Jun,30
Three Mile Dam,2023,5,7-Jul,40
Three Mile Dam,2023,6,14-Jul,50
Three Mile Dam,2023,7,21-Jul,60
Three Mile Dam,2023,8,28-Jul,40
Three Mile Dam,2023,9,4-Aug,20
Three Mile Dam,2023,10,11-Aug,10
Three Mile Dam,2023,11,18-Aug,0
Three Mile Dam,2023,12,25-Aug,0
Three Mile Dam,2023,13,1-Sep,0
Three Mile Dam,2023,14,8-Sep,0
Three Mile Dam,2023,15,15-Sep,0
Three Mile Dam,2024,1,9-Jun,0
Three Mile Dam,2024,2,16-Jun,0
Three Mile Dam,2024,3,23-Jun,0
Three Mile Dam,2024,4,30-Jun,0
Three Mile Dam,2024,5,7-Jul,0
Three Mile Dam,2024,6,14-Jul,0
Three Mile Dam,2024,7,21-Jul,5
Three Mile Dam,2024,8,28-Jul,10
Three Mile Dam,2024,9,4-Aug,25
Three Mile Dam,2024,10,11-Aug,20
Three Mile Dam,2024,11,18-Aug,15
Three Mile Dam,2024,12,25-Aug,10
Three Mile Dam,2024,13,1-Sep,0
Three Mile Dam,2024,14,8-Sep,0
Three Mile Dam,2024,15,15-Sep,0
Three Mile Dam,2025,1,9-Jun,0
Three Mile Dam,2025,2,16-Jun,5
Three Mile Dam,2025,3,23-Jun,10
Three Mile Dam,2025,4,30-Jun,15
Three Mile Dam,2025,5,7-Jul,20
Three Mile Dam,2025,6,14-Jul,21
Three Mile Dam,2025,7,21-Jul,10
Three Mile Dam,2025,8,28-Jul,5
Three Mile Dam,2025,9,4-Aug,0
Three Mile Dam,2025,10,11-Aug,0
Three Mile Dam,2025,11,18-Aug,0
Three Mile Dam,2025,12,25-Aug,0
Three Mile Dam,2025,13,1-Sep,0
Three Mile Dam,2025,14,8-Sep,0
Three Mile Dam,2025,15,15-Sep,0
